	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_NODE_65	0.9013267737773794						0.0089797365773334	0.3350226957330124					0.0480837385687066																	0.2401155102295484				0.0829651892099617		0.0378346247788925									0.0638769222604289			0.0130074248078141											0.0022999613826361																		0.2241295567337744			0.0463007937596144											
A01_NODE_69	0.0							0.0																																																															0.0	0.0																	0.0		
A01_NODE_70	7.047956409665616			0.2089739754283905				1.250213656090257																										0.009525095115938			0.0630736494418886									0.1523236582695281	0.1449886403616345																0.0168774666262188											0.4208944124497845																	
A01_NODE_77	0.0390653890518797							0.0014213376491497																																																																																			
A01_NODE_79	0.0							0.0																																																																							0.0										0.0		
A01_NODE_89	4.8717135812607495							1.004793736285619																																																																		0.5605559234563555																	
A01_NODE_92	0.0101910749900084				0.0			0.0													0.0													0.0			0.0									0.0	0.0												0.0547035527760011																									0.0							
A01_NODE_396	7.478928347910846	0.6568168830837031						0.7314064192680181	2.166560512213769																		3.047521240029704			0.2919230343879844				0.4228291426839106																					9.764425366167178										0.2406724880426973																								0.0		
A01_opera_contig_1	1.686618337512682	0.2481782933470014	0.0		0.0007918629790395			0.2701546048996144	0.029891914273167					0.0314801732986869			0.199749604901435									0.1520308543030786		0.0354830491240041		0.0546626345136497				0.0134617659521724		0.0050404180284482						0.008456302213454			0.0037312350727482							0.0155308797342997					0.0003849531788912		0.0	0.0162072269020115											0.2591174625059407	0.0037575478213855		0.0072449414050666												0.0139993635644603	0.0105528140783775			0.0014982629253269	
A01_opera_contig_6	0.0247031710826436	0.0026263998341751			0.0			0.0006683303801283		0.0										0.0207752649544914				0.0			0.0			0.0246997085617497		0.0006804586432144						0.0013852969411316						0.0								0.0					0.0059396722710473			0.0413396460357089	0.0006771612982359		0.0006815548067499						0.0								0.0						0.0006505491474385			0.0186670583945821					0.0
A01_opera_contig_14	0.2085730156155631		0.0017025678220064			0.0046242322367069		0.0190970002251708						0.000479968131129			0.0039698769180271																																																																	0.0		0.0051539372507271	0.0126732416298756						
A01_opera_contig_18	0.1303267123443235	0.0146844729745769		0.0659021608835056	0.0060722495527535	0.0		0.0169397259031651				0.0010776745333985	0.0069799243652166			0.0009869356642292	0.0010874984578906	0.0				0.0018971241797734		0.0		0.0080228437384739	0.0010492426869743				0.0010186923164465	0.0010145372309353		0.0049156653929423		0.0009910635904511	0.0031071167039556					0.1851386970901608		0.0126146151903795		0.0019478698752209	0.0059295316276211	0.0			0.015174479624071		0.0038074818588305		0.0		0.0039359196060049		0.0	0.0020208457655441	0.0020192420369989			0.0	0.0020226326156096	0.0029267709025531				0.0055781777814701		0.0	0.0094283542306675		0.0038331922667061											0.0		0.0093927385094095			0.0
A01_opera_contig_26	0.1064750259124706							0.0138982580286613																																																																																			
A01_opera_contig_27	0.0331434187555267				0.040253066815984			0.0023313589705539																																						0.0	0.0011560878459822													0.0			0.0	0.0			0.0	0.0034362130660922																		0.0		0.0	0.0456890923260676		
A01_opera_contig_28	0.0392249695198232							5.627472473450785													0.0																							0.00115151837277		0.0011557666602587	0.0													0.0011990668324679											0.0052574363541244															0.0070774298992156					
A01_opera_contig_29	0.0203459793500613							0.0				0.0																		0.0																						0.0								0.0												0.0																			
A01_opera_contig_30	0.0363430328512668							0.003486033735546																				0.0058435067286229																																0.0023566009156224				0.0060796368946894																											
A01_opera_contig_35	0.5975367930503673	0.0089364666780793						0.2325195736144385	0.0053487609571287	4.232225329895433	0.04121154288317		0.014791246575533			0.0045046140021822				5.721387397133702							0.0011972495955759											0.0		0.3596756228370261					0.0024183945905508															0.0	0.0	0.0283960821335525	0.0	0.0010816103316563		0.4152264915929107											0.0					0.0	0.042057040727349	0.0053700487428623					7.527583881297623		
